ind	loc	latitude	longitude	pop	Bio01	Bio02	Bio03	Bio04	Bio05	Bio06	Bio07	Bio08	Bio09	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
KA17BG005	KABG	49.0171	8.405	GER	10.708333403803408	8.099999922638139	30.681817777945746	679.9927713057962	23	-3.4000000953674316	26.40000009536743	17.566666920979817	6.566666742165883	19.233333587646484	2.5000000235935054	791	85	53	16.695193109274907	243	166	215	188
Cala2	Canterbury	51.3	1.07	ENG	10.204166798541943	6.858333609998226	35.35223373451754	471.94212024853914	19.700000762939453	0.30000001192092896	19.400000751018524	8.049999992052713	6.350000073512395	16.18333355585734	4.866666629910469	632	70	38	20.586529535411128	201	127	152	160
Ey_1	Eyach	48.4461	8.7808	GER	8.708333402872086	9.283333480358124	34.12990154399868	668.8247323536085	21.700000762939453	-5.5	27.200000762939453	15.416666905085245	1.783333381017049	17.10000006357829	0.7166666984558105	809	91	53	17.265698278883974	254	167	237	183
Noks1	Nottingham	52.93	-1.18	ENG	9.891666562606892	7.383333144088586	36.9166650053114	470.82052845575674	19.600000381469727	-0.4000000059604645	20.00000038743019	5.433333267768224	6.233333205183347	15.899999936421713	4.466666663686435	598	58	42	10.538272649844087	164	134	153	153
PA0068_1	P0011	39.3948	-5.7829	ESP	15.179166683306297	11.541666887700558	38.0913103324652	681.1202476428269	29.899999618530273	-0.4000000059604645	30.299999624490738	8.483333523074785	24.166666348775227	24.166666348775227	7.6666668603817625	597	87	6	53.45101022597358	244	41	41	230
PA0070_1	P0011	39.3948	-5.7829	ESP	15.179166683306297	11.541666887700558	38.0913103324652	681.1202476428269	29.899999618530273	-0.4000000059604645	30.299999624490738	8.483333523074785	24.166666348775227	24.166666348775227	7.6666668603817625	597	87	6	53.45101022597358	244	41	41	230
PA0071_1	P0011	39.3948	-5.7829	ESP	15.179166683306297	11.541666887700558	38.0913103324652	681.1202476428269	29.899999618530273	-0.4000000059604645	30.299999624490738	8.483333523074785	24.166666348775227	24.166666348775227	7.6666668603817625	597	87	6	53.45101022597358	244	41	41	230
PA01032_1	P0134	51.2548	1.0203	ENG	10.095833282917738	7.208333211640517	36.77721170063481	475.60227228963834	19.799999237060547	0.20000000298023224	19.599999234080315	7.733333388964335	6.316666774451733	16.133333047231037	4.733333453536034	648	71	39	20.961128203587773	207	131	144	167
PA0129_1	P0020	38.7602	16.2352	ITA	16.787500023841858	8.508333285649618	35.45138728149518	563.6856236713019	28.700000762939453	4.699999809265137	24.000000953674316	14.699999888737997	23.583333333333332	23.983333587646484	10.266666650772095	919	131	16	58.84992727853539	387	58	94	350
PA0133_1	P0021	38.9697	16.3407	ITA	15.620833496252695	8.425000150998434	34.8140497991514	580.2133580622144	27.600000381469727	3.4000000953674316	24.200000286102295	13.400000015894571	22.816666920979817	22.96666685740153	8.950000127156576	1014	146	22	55.96841472121752	420	72	102	376
PA0136_1	P0021	38.9697	16.3407	ITA	15.620833496252695	8.425000150998434	34.8140497991514	580.2133580622144	27.600000381469727	3.4000000953674316	24.200000286102295	13.400000015894571	22.816666920979817	22.96666685740153	8.950000127156576	1014	146	22	55.96841472121752	420	72	102	376
PA0140_1	P0021	38.9697	16.3407	ITA	15.620833496252695	8.425000150998434	34.8140497991514	580.2133580622144	27.600000381469727	3.4000000953674316	24.200000286102295	13.400000015894571	22.816666920979817	22.96666685740153	8.950000127156576	1014	146	22	55.96841472121752	420	72	102	376
PA0147_1	P0022	39.1292	16.1678	ITA	14.608333359162012	7.4333333770434065	31.90271940103794	587.83823463976	26.299999237060547	3	23.299999237060547	12.100000143051147	21.833333333333332	21.950000127156574	7.733333309491475	1000	138	20	51.71456893608601	400	77	110	366
PA0156_1	P0023	39.2697	16.2709	ITA	14.683333277702332	8.599999825159708	33.59375038077513	624.744788724365	27.299999237060547	1.7000000476837158	25.59999918937683	11.650000015894571	22.349999745686848	22.483333269755047	7.283333381017049	943	136	16	56.785040235835666	398	65	96	355
PA0157_3	P0023	39.2697	16.2709	ITA	14.683333277702332	8.599999825159708	33.59375038077513	624.744788724365	27.299999237060547	1.7000000476837158	25.59999918937683	11.650000015894571	22.349999745686848	22.483333269755047	7.283333381017049	943	136	16	56.785040235835666	398	65	96	355
PA0162_1F	P0024	39.4833	16.2784	ITA	15.945833325386047	10.041666587193808	36.648418711665805	642.8221195339808	29.399999618530273	2	27.399999618530273	12.883333285649618	24.03333346048991	24.03333346048991	8.466666539510092	875	131	12	58.316334732183556	380	57	57	322
PA0162_3	P0024	39.4833	16.2784	ITA	15.945833325386047	10.041666587193808	36.648418711665805	642.8221195339808	29.399999618530273	2	27.399999618530273	12.883333285649618	24.03333346048991	24.03333346048991	8.466666539510092	875	131	12	58.316334732183556	380	57	57	322
PA0163_1	P0024	39.4833	16.2784	ITA	15.945833325386047	10.041666587193808	36.648418711665805	642.8221195339808	29.399999618530273	2	27.399999618530273	12.883333285649618	24.03333346048991	24.03333346048991	8.466666539510092	875	131	12	58.316334732183556	380	57	57	322
PA0164_1	P0024	39.4833	16.2784	ITA	15.945833325386047	10.041666587193808	36.648418711665805	642.8221195339808	29.399999618530273	2	27.399999618530273	12.883333285649618	24.03333346048991	24.03333346048991	8.466666539510092	875	131	12	58.316334732183556	380	57	57	322
PA0166-4	P0024	39.4833	16.2784	ITA	15.945833325386047	10.041666587193808	36.648418711665805	642.8221195339808	29.399999618530273	2	27.399999618530273	12.883333285649618	24.03333346048991	24.03333346048991	8.466666539510092	875	131	12	58.316334732183556	380	57	57	322
PA0168_1P	P0024	39.4833	16.2784	ITA	15.945833325386047	10.041666587193808	36.648418711665805	642.8221195339808	29.399999618530273	2	27.399999618530273	12.883333285649618	24.03333346048991	24.03333346048991	8.466666539510092	875	131	12	58.316334732183556	380	57	57	322
PA0211_1	P0055	41.7287	2.9077	ESP	15.324999928474426	8.450000047683716	37.72321594403873	524.7661762383616	26.799999237060547	4.400000095367432	22.399999141693115	16.333333492279053	22.099999745686848	22.18333339691162	9.649999936421713	665	86	25	26.854666249193716	218	122	146	156
PA0257_1	P0030	41.1705	14.1752	ITA	15.220833361148834	10.441666801770529	38.961443359510426	612.9120276137269	28.5	1.7000000476837158	26.799999952316284	12.200000047683716	22.883333206176758	22.883333206176758	8.116666793823242	896	133	23	43.981520123467405	347	100	100	276
PA0320_1	P0067	44.9994	1.3007	FRS	11.954166640837988	9.125000178813934	37.86307124392811	551.6275820726404	23.5	-0.6000000238418579	24.100000023841858	8.81666668256124	18.883333206176758	18.883333206176758	5.53333322207133	932	92	57	13.180870324401324	257	199	199	242
PA0325_1	P0068	45.0006	1.7492	FRS	12.324999881287416	9.899999792377153	38.976377720709586	569.1321164780046	24.399999618530273	-1	25.399999618530273	14.516666173934937	19.25000015894572	19.483333269755047	5.64999986688296	795	82	52	12.571633106355613	221	181	182	193
PA0458_1	P0119	48.5294	9.0586	GES	9.416666657974323	8.533333398401737	32.201258107176365	668.4423339206822	22	-4.5	26.5	16.200000127156574	2.5666666676600776	17.733333428700764	1.2833332618077595	720	94	38	28.625649644097212	255	123	241	131
PA0459_1	P0119	48.5294	9.0586	GES	9.416666657974323	8.533333398401737	32.201258107176365	668.4423339206822	22	-4.5	26.5	16.200000127156574	2.5666666676600776	17.733333428700764	1.2833332618077595	720	94	38	28.625649644097212	255	123	241	131
PA0459_2	P0119	48.5294	9.0586	GES	9.416666657974323	8.533333398401737	32.201258107176365	668.4423339206822	22	-4.5	26.5	16.200000127156574	2.5666666676600776	17.733333428700764	1.2833332618077595	720	94	38	28.625649644097212	255	123	241	131
PA0466_1	P0073	50.2912	7.2644	GEN	8.820833445837101	7.791666743655999	31.545209732079805	628.7594626578303	20.5	-4.199999809265137	24.699999809265137	14.866667032241821	4.483333244919777	16.733333587646484	1.4166666964689891	706	68	48	10.199426985067678	191	154	185	175
