ind	loc	latitude	longitude	pop
KA17BG005	KABG	49.0171	8.405	GER
Cala2	Canterbury	51.3	1.07	ENG
Ey_1	Eyach	48.4461	8.7808	GER
Noks1	Nottingham	52.93	-1.18	ENG
PA0068_1	P0011	39.3948	-5.7829	ESP
PA0070_1	P0011	39.3948	-5.7829	ESP
PA0071_1	P0011	39.3948	-5.7829	ESP
PA01032_1	P0134	51.2548	1.0203	ENG
PA0129_1	P0020	38.7602	16.2352	ITA
PA0133_1	P0021	38.9697	16.3407	ITA
PA0136_1	P0021	38.9697	16.3407	ITA
PA0140_1	P0021	38.9697	16.3407	ITA
PA0147_1	P0022	39.1292	16.1678	ITA
PA0156_1	P0023	39.2697	16.2709	ITA
PA0157_3	P0023	39.2697	16.2709	ITA
PA0162_1F	P0024	39.4833	16.2784	ITA
PA0162_3	P0024	39.4833	16.2784	ITA
PA0163_1	P0024	39.4833	16.2784	ITA
PA0164_1	P0024	39.4833	16.2784	ITA
PA0166-4	P0024	39.4833	16.2784	ITA
PA0168_1P	P0024	39.4833	16.2784	ITA
PA0211_1	P0055	41.7287	2.9077	ESP
PA0257_1	P0030	41.1705	14.1752	ITA
PA0320_1	P0067	44.9994	1.3007	FRS
PA0325_1	P0068	45.0006	1.7492	FRS
PA0458_1	P0119	48.5294	9.0586	GES
PA0459_1	P0119	48.5294	9.0586	GES
PA0459_2	P0119	48.5294	9.0586	GES
PA0466_1	P0073	50.2912	7.2644	GEN
PA0470_1	P0074	50.3884	8.066	GEN
PA0471_1	P0074	50.3884	8.066	GEN
PA0477_1	P0075	50.0905	8.5643	GEN
PA0494_1	P0073	50.2912	7.2644	GEN
PA0495_1	P0074	50.3884	8.066	GEN
PA0495_2	P0074	50.3884	8.066	GEN
PA0660_1	P0153	48.8061	2.1652	FRN
PA0661_1	P0153	48.8061	2.1652	FRN
PA0681_1	P0119	48.5294	9.0586	GES
PA0682_1	P0119	48.5294	9.0586	GES
PA0695_1	P0079	48.3272	14.7151	CSA
PA0708_1	P0171	41.8279	25.687	BAL
PA0711_1	P0171	41.8279	25.687	BAL
PA0724a_1	P0173	41.5379	24.9775	BAL
PA0733_1	P0175	41.6194	23.9374	BAL
PA0736_1	P0175	41.6194	23.9374	BAL
PA0736_2	P0175	41.6194	23.9374	BAL
PA0745_1	P0177	41.5869	23.5561	BAL
PA0877_1	P0080	48.332	14.7157	CSA
PA0878_1	P0080	48.332	14.7157	CSA
PA0883_1	P0080	48.332	14.7157	CSA
PA0884_1	P0080	48.332	14.7157	CSA
PA0885_1	P0081	48.4264	15.57	CSA
PA0891_1	P0082	49.2773	16.63	CSA
PA0892_1	P0082	49.2773	16.63	CSA
PA0900_1	P0084	49.4078	16.2766	CSA
PA0901_1	P0084	49.4078	16.2766	CSA
PA0918_1	P0087	49.9842	13.4172	CSA
PA0919_1	P0087	49.9842	13.4172	CSA
